time_ms,ir_r,ir_l,tf_r,tf_l,tf_front,throttle_l,throttle_r,steering,gyro_z,accel_x,accel_y
  4450,  305,  213,  863,  213,  2773,  7999,  9999,  31,  59,  411, -596
  4531,  305,  214,  861,  214,  2790,  9999,  9999,  14, -21,  3112, -1996
  4610,  305,  208,  864,  213,  2776,  7999,  9999,  16,  852, -356,  668
  4692,  305,  208,  864,  214,  2765,  7999,  9999,  16,  53,  575, -1341
  4772,  305,  208,  864,  214,  2790,  7999,  9999,  16,  76,  215, -1100
  4855,  305,  207,  864,  214,  2781,  7999,  9999,  16,  103,  365, -1248
  4935,  305,  208,  864,  214,  2773,  7999,  9999,  16,  151,  271, -1071
  5015,  305,  207,  863,  213,  2763,  7999,  9999,  16,  108,  245, -1177
  5096,  305,  207,  861,  213,  2761,  7999,  9999,  16,  163,  260, -1385
  5176,  305,  208,  849,  212,  2432,  7999,  9999,  16,  2566,  2005,  10569
  5259,  305,  207,  833,  205,  2037,  7999,  9999,  16, -1972,  3595,  5825
  5338,  305,  208,  804,  210,  3220,  7999,  9999,  15, -5004,  6687, -1689
  5420,  305,  207,  756,  249,  3551,  7999,  9999,  15, -10751,  3507,  539
  5502,  305,  225,  742,  335,  2521,  9999,  9999,  11, -12386,  3489,  3857
  5582,  305,  239,  619,  473,  2117,  9999,  9999,  11, -10368,  1973, -895
  5663,  305,  305,  535,  668,  1166,  9999,  9999, -3, -9816,  3853, -859
  5743,  305,  305,  465,  942,  871,  9999,  9999,  8, -8772,  2701, -957
  5825,  305,  305,  412,  1158,  686,  9999,  9999, -14, -3429, -2935, -2121
  5904,  305,  305,  343,  1325,  560,  9999,  7999, -30, -2736,  397, -1152
  5991,  305,  305,  228,  1763,  452,  9999,  7999, -35,  2844, -7867, -5627
  6072,  305,  305,  196,  1541,  457,  9999,  7999, -35,  13709, -5521, -5021
  6152,  305,  305,  173,  1141,  560,  9999,  7999, -30,  12961, -2461, -3719
  6234,  288,  305,  171,  924,  1475,  9999,  7999, -15,  13152, -5349, -2225
  6313,  256,  305,  191,  774,  1789,  9999,  9999, -13,  14261, -5026, -800
  6396,  232,  305,  241,  653,  2500,  9999,  9999, -5,  11592,  1692,  2587
  6475,  305,  305,  317,  565,  2155,  9999,  9999,  7,  9950, -342,  146
  6557,  305,  305,  509,  490,  1887,  9999,  9999,  5,  5790,  2133, -467
  6637,  305,  305,  746,  440,  1783,  9999,  9999,  9, -3676,  3561, -4376
  6718,  305,  305,  838,  402,  1754,  9999,  9999,  12, -2870,  1980,  985
  6801,  305,  305,  863,  374,  1759,  9999,  9999,  11, -5107,  3042,  254
  6879,  305,  296,  781,  355,  1850,  9999,  9999,  12, -7560,  3094, -3387
  6961,  305,  285,  690,  351,  1829,  9999,  9999,  11, -6891,  6795,  1582
  7041,  305,  278,  619,  377,  1775,  9999,  9999,  10, -7726,  168, -2167
  7123,  305,  275,  550,  482,  1741,  9999,  9999,  8, -7969,  603, -3369
  7205,  305,  305,  480,  651,  805,  9999,  9999,  0, -7071,  4041,  2508
  7285,  305,  305,  410,  868,  622,  9999,  7999, -22, -7413,  643, -2524
  7365,  305,  305,  338,  927,  503,  9999,  7999, -35,  1323, -5394, -5936
  7445,  305,  305,  274,  887,  469,  9999,  7999, -35,  8358, -2736, -3220
  7527,  305,  305,  228,  791,  1277,  9999,  9999, -13,  13246, -145, -861
  7607,  305,  305,  205,  699,  1124,  9999,  9999, -12,  14561, -4155,  2479
  7689,  305,  305,  198,  621,  1000,  9999,  9999, -12,  10557, -3770,  828
  7769,  305,  305,  208,  602,  872,  9999,  9999, -11,  9948,  815, -1236
  7851,  305,  305,  1152,  511,  647,  7999,  9999,  19,  8776, -2423, -525
  7932,  305,  298,  1051,  399,  494,  7999,  9999,  35,  6033,  2644, -2203
  8012,  305,  296,  865,  323,  398,  6999,  8999,  35, -1133,  7564, -145
  8093,  305,  296,  786,  239,  356,  6999,  8999,  35, -12004,  3461, -3056
  8173,  305,  266,  798,  175,  359,  6999,  8999,  35, -14356,  4042, -1879
  8255,  305,  268,  883,  140,  358,  6999,  8999,  35, -13143,  2772, -599
  8335,  305,  258,  889,  123,  306,  6999,  8999,  35, -14864,  2531, -1752
  8417,  305,  203,  838,  124,  256,  6999,  8999,  35, -13017, -236, -2076
  8497,  305,  177,  806,  142,  247,  6999,  8999,  35, -13763,  3493,  1752
  8580,  305,  178,  785,  112,  243,  6999,  8999,  35, -14159,  7559, -893
